stock_id,roc_year,roc_month,announce_date,source,url,chunks,verdict,note
6426,110,11,2021-12-10,m_txt,,"[""cnyes.com""]",approve,統新110/11：公司名、月份、0.51億元與年減12.73%均明確；grounding chunks 有 cnyes.com，模型日期 2021-12-10 正好對上慣用公布日中位數10號。1—11月累計4.65億元扣本月約0.51億元後，與已知1、2、7—10月營收及缺漏3—6月的合理量級無矛盾，核准。
6469,110,11,2021-12-10,m_txt,,"[""genetinfo.com""]",reject,"6469 大樹 110/11：34 次查詢雖多次鎖定大樹與 994,974 千元，最後 text／extracted 卻只採用列出北極星藥業、萊鎂醫、浩鼎等他公司的《營收快報》彙總標題；標題沒有大樹、6469、11 月營收金額或年增率。唯一 chunk 為 genetinfo.com，無文章標題可將該彙總內容連回大樹。2021-12-10 僅符合本檔慣用公布日，不能單獨支撐日期。"
2025,110,12,,,,[],reject,"2025 千興 110/12：Gemini 實際執行 19 次查詢，涵蓋公司名、110 年 12 月、246,856 千元與 2022 年 1 月公布窗，但完整 text 為 DATE: NONE，沒有 extracted、標題、網址或 grounding chunk。側查僅能確認 110/9—11 已由獨立來源公告，不能由相鄰月自行推定 12 月申報日；同意 worker failed。"
2035,110,12,2022-01-07,m_txt,,"[""chinatimes.com""]",approve,2035 唐榮 110/12：text／extracted 明確為「唐榮12月營收為12.40億元年增45.01％」，公司名、月份、金額與年增率均對應任務；8 次 searches 均鎖定唐榮 2021 年 12 月，並有 chinatimes.com grounding chunk。模型日期 2022-01-07 為週五，接近此檔整體月初公布節奏（中位數 8 日），且與 111/12 獨立公告的 1/6 相容；MOPS 基準未涵蓋此股，未見矛盾。
2440,110,12,2022-01-09,m_txt,,"[""cnyes.com"", ""cnyes.com""]",approve,"2440 太空梭 110/12：text／extracted 精確載明太空梭 12 月營收 3.53 億元、年減 7.31%、全年累計 42.00 億元，21 次 searches 均圍繞太空梭 2440、352,743 千元與 2021/12，並讀到兩個 cnyes.com chunks。以 DB 已蓋章的 1—5、8—11 月加上本月 3.527 億合計約 34.40 億，回推缺少的 6、7 月合計約 7.60 億；僅缺兩月且每月約 3.80 億落在同年 2.12—4.37 億區間，與全年累計相容。2022-01-09 為週日且較慣用日早，但無官方基準衝突。"
3325,110,12,,,,[],reject,"3325 旭品 110/12：Gemini 已實際執行 36 次查詢，反覆交叉尋找旭品、3325、103,068 千元、1,524,824 千元及 2022 年 1 月公布窗，但完整 dump 的 text 為 DATE: NONE，extracted 與 url 均為 null、chunks 為空。側查雖顯示 110/11 與 111/1 有獨立公告，不能據此代填本月日期；同意 worker failed。"
4113,110,12,2022-01-10,m_txt,,[],approve,4113 聯上 110/12：公司名與任務精確一致，text／extracted 明示 12 月營收 1.46 億元、年增 1161%、全年累計 14.39 億元；日期 2022-01-10 為週一，與本檔慣用公布日中位數 10 日相符。雖僅 5 次 searches 且 chunks 空，但 DB 中獨立的 110/11 Yahoo 標題已載累計 12.93 億；加本月 1.46 億為 14.39 億。再以已驗證的 1—9 月營收反推 10 月約 14.08 億，與 110/11 累計同樣精確相符，構成獨立累計佐證。
4161,110,12,2022-01-06,m_txt,,"[""cnyes.com""]",approve,"4161 聿新科 110/12：text／extracted 精確載明聿新科 12 月營收 0.61 億元、年減 6.81%、全年累計 7.38 億元；18 次 searches 均鎖定 4161、110/12 與 61,480 千元，並有 cnyes.com grounding chunk。DB 已蓋章的 110 年 1—11 月營收合計 6.7636 億，加本月 0.6148 億為 7.3784 億，與標題累計 7.38 億的四捨五入完全相容。日期 2022-01-06 為週四，比慣用日中位數 4 日晚兩日，仍與此檔月初公布節奏相符。"
4171,110,12,2022-01-10,m_txt,,[],reject,"4171 瑞基 110/12：最終 text／extracted 只有「檢測需求增 瑞基去年營收創新猷 12月、Q4登同期高」的質性新聞標題，沒有瑞基本月的營收金額、年增率或全年累計，無法驗證 2022-01-10 是該月申報日。雖然 searches 曾查詢 9,974 萬元與一段公司公告句，這些只是模型查詢字串，沒有 grounding chunk 或 URL／原文連結可作證；且 110/4—6 缺獨立月額，不能補做累計交叉核對。"
6111,110,12,2022-01-10,m_txt,,[],reject,6111 光聚晶電 110/12：DB 的 111/12 獨立 Yahoo 片段寫「公告-大宇資」，證實大宇資是此股號的當時舊名，非換公司；但本筆 Gemini 的唯一可採內容仍是 m_txt，chunks 空、URL 為 NONE。110 年 1—11 月幾乎皆 failed，僅 5 月留下的是無營收數字的雜訊片段，故無法以獨立月額核對標題聲稱的全年 5.59 億。searches 後段反覆以「大宇資12月營收0.62億元年增49.21%」自我驗證，沒有讀到的來源支撐日期與金額。
